iter	Passed	Remaining
0	157	157789
1	172	85925
2	187	62443
3	205	51119
4	224	44596
5	242	40092
6	261	37076
7	277	34452
8	297	32713
9	315	31189
10	330	29726
11	344	28333
12	356	27029
13	366	25818
14	375	24625
15	384	23625
16	394	22818
17	402	21956
18	409	21164
19	418	20482
20	426	19861
21	433	19266
22	441	18755
23	449	18262
24	456	17820
25	465	17424
26	472	17040
27	480	16668
28	488	16339
29	496	16047
30	504	15777
31	512	15505
32	520	15257
33	527	14998
34	536	14781
35	544	14583
36	552	14381
37	560	14201
38	569	14030
39	577	13860
40	585	13695
41	594	13550
42	602	13399
43	610	13269
44	619	13142
45	627	13017
46	635	12892
47	644	12792
48	655	12712
49	666	12670
50	678	12629
51	690	12580
52	702	12557
53	715	12533
54	725	12472
55	736	12421
56	747	12358
57	756	12280
58	764	12186
59	773	12120
60	782	12040
61	790	11956
62	798	11874
63	806	11795
64	815	11723
65	823	11652
66	832	11588
67	840	11517
68	848	11450
69	856	11385
70	865	11322
71	874	11267
72	882	11202
73	891	11156
74	899	11092
75	907	11038
76	916	10981
77	925	10936
78	933	10882
79	941	10829
80	950	10778
81	958	10731
82	966	10682
83	975	10637
84	983	10592
85	992	10543
86	1000	10503
87	1009	10459
88	1017	10417
89	1027	10385
90	1036	10357
91	1047	10340
92	1057	10317
93	1069	10310
94	1079	10285
95	1092	10286
96	1104	10285
97	1114	10256
98	1125	10243
99	1134	10209
100	1145	10200
101	1154	10167
102	1165	10153
103	1174	10122
104	1186	10116
105	1200	10125
106	1212	10121
107	1223	10104
108	1233	10080
109	1243	10065
110	1254	10047
111	1269	10067
112	1278	10038
113	1291	10036
114	1300	10006
115	1309	9980
116	1317	9943
117	1325	9909
118	1333	9872
119	1341	9841
120	1350	9809
121	1359	9781
122	1369	9763
123	1381	9759
124	1391	9741
125	1400	9711
126	1408	9679
127	1416	9648
128	1424	9615
129	1432	9587
130	1440	9556
131	1448	9528
132	1457	9500
133	1465	9474
134	1475	9455
135	1484	9430
136	1493	9405
137	1501	9378
138	1510	9355
139	1518	9326
140	1527	9307
141	1537	9288
142	1546	9265
143	1554	9243
144	1563	9217
145	1572	9197
146	1581	9175
147	1590	9157
148	1601	9147
149	1615	9151
150	1630	9165
151	1645	9178
152	1663	9207
153	1679	9225
154	1693	9230
155	1703	9217
156	1715	9208
157	1724	9192
158	1735	9179
159	1745	9161
160	1755	9147
161	1766	9136
162	1777	9125
163	1786	9108
164	1798	9100
165	1807	9081
166	1817	9063
167	1825	9041
168	1834	9018
169	1842	8996
170	1851	8973
171	1859	8950
172	1867	8928
173	1875	8905
174	1886	8891
175	1894	8871
176	1903	8851
177	1912	8834
178	1921	8814
179	1930	8793
180	1939	8776
181	1949	8760
182	1958	8742
183	1967	8726
184	1975	8703
185	1982	8677
186	1990	8655
187	1998	8631
188	2006	8607
189	2013	8584
190	2021	8561
191	2028	8537
192	2036	8515
193	2043	8491
194	2051	8467
195	2059	8450
196	2069	8436
197	2078	8419
198	2087	8401
199	2096	8385
200	2105	8370
201	2114	8354
202	2123	8338
203	2132	8322
204	2141	8303
205	2150	8287
206	2159	8273
207	2168	8256
208	2177	8239
209	2187	8230
210	2196	8214
211	2205	8198
212	2214	8182
213	2224	8169
214	2233	8154
215	2243	8142
216	2253	8130
217	2263	8120
218	2273	8107
219	2283	8096
220	2292	8080
221	2301	8064
222	2310	8050
223	2318	8032
224	2327	8015
225	2336	8001
226	2345	7988
227	2355	7974
228	2364	7962
229	2373	7946
230	2382	7931
231	2391	7916
232	2400	7901
233	2409	7886
234	2418	7871
235	2427	7857
236	2435	7840
237	2443	7823
238	2452	7809
239	2462	7796
240	2470	7780
241	2480	7770
242	2489	7755
243	2498	7740
244	2507	7728
245	2517	7714
246	2524	7696
247	2531	7676
248	2538	7657
249	2546	7639
250	2554	7621
251	2561	7603
252	2568	7584
253	2576	7567
254	2583	7549
255	2591	7532
256	2599	7516
257	2608	7500
258	2615	7482
259	2623	7465
260	2630	7447
261	2637	7430
262	2645	7412
263	2652	7394
264	2659	7376
265	2667	7359
266	2674	7342
267	2681	7325
268	2689	7308
269	2696	7291
270	2704	7274
271	2711	7257
272	2718	7240
273	2726	7223
274	2733	7206
275	2742	7193
276	2749	7177
277	2757	7161
278	2765	7145
279	2772	7130
280	2780	7113
281	2787	7098
282	2795	7081
283	2802	7066
284	2810	7050
285	2817	7034
286	2825	7018
287	2832	7002
288	2839	6986
289	2847	6971
290	2854	6955
291	2862	6941
292	2870	6925
293	2878	6911
294	2885	6896
295	2893	6881
296	2900	6865
297	2907	6849
298	2915	6834
299	2923	6820
300	2931	6808
301	2941	6797
302	2948	6782
303	2956	6767
304	2963	6753
305	2971	6738
306	2978	6723
307	2986	6709
308	2993	6694
309	3000	6679
310	3008	6664
311	3015	6650
312	3023	6636
313	3030	6621
314	3038	6607
315	3045	6592
316	3053	6578
317	3060	6564
318	3068	6550
319	3075	6534
320	3082	6520
321	3090	6507
322	3097	6493
323	3105	6479
324	3112	6464
325	3120	6450
326	3129	6440
327	3140	6433
328	3148	6422
329	3157	6410
330	3164	6396
331	3173	6386
332	3181	6373
333	3190	6361
334	3197	6347
335	3205	6334
336	3212	6320
337	3220	6307
338	3227	6293
339	3235	6279
340	3242	6266
341	3250	6253
342	3259	6243
343	3270	6236
344	3279	6226
345	3290	6218
346	3299	6208
347	3308	6198
348	3317	6188
349	3325	6176
350	3333	6164
351	3343	6154
352	3352	6144
353	3360	6133
354	3370	6123
355	3380	6114
356	3389	6104
357	3398	6094
358	3407	6083
359	3415	6072
360	3423	6060
361	3431	6046
362	3438	6033
363	3447	6024
364	3454	6010
365	3462	5998
366	3470	5985
367	3478	5974
368	3485	5961
369	3494	5949
370	3502	5937
371	3509	5924
372	3517	5913
